Column,Title,First Author,Second Author,Third Author,Fourth Author,Fifth Author,Sixth Author,Seventh Author,Abstract
X,Using DDI-Lifecycle to Document the BLS National Longitudinal Surveys,Dan Gillman,,,,,,,"<p>The National Longitudinal Survey of Youth is conducted by the US Bureau of Labor Statistics. Several cohorts exist, one was begun in 1979, another in 1997, and one is planned for 2026. In an effort to modernize data dissemination for this new cohort and improve documentation for the data, NLSY is planning to use the DDI-Lifecycle standard for this purpose. This talk will focus on the complexity and richness of NLSY data and how we plan to use DDI to manage the descriptions of them.</p>

<p>NLSY has many subject fields, each with several specialized subjects underneath. Variables differ based on the subject, the wave of the survey, and the need for repetition, say for jobs. The result is many thousands of variables. The current system is not good at simplifying this complexity. The plan is to use the variable cascade and the many ways objects can be grouped in DDI-Lifecycle to reduce the complexity, make it easier for analysts to find variables of interest, and take better advantage of meanings to link similar variables together and distinguish them where necessary.</p>

<p>The result is expected to be a much more coherent system for users to understand NLSY data. Transparency of variables, their similarities, and their differences is a goal. However, the purpose of this talk at this stage of the development of the system is to encourage a discussion about ways BLS could improve its approach</p>"
X,Introducing the MAST Methodology - a new framework for developing metadata management capability,Lauren Eickhorst,Samuel Spencer,,,,,,"<p>As more academic fields and government sectors experience the value of data, the need for increased data literacy and data librarianship has grown dramatically. However, the necessary skills for data and metadata management remain concentrated within specialised data management areas. Additionally, some novice data users from underrepresented communities may not have the access to tools, resources and networks to develop capability for data documentation. To meet the needs of the growing diversity of data users, new methods are required to support the democratisation of knowledge and capability to support data librarianship.<br>
<br>
Based on research and experience with data governance across 15 Government departments and Academic organisations this talk introduces the MAST Methodology - an operational framework for building sustainable data culture.<br>
<br>
Building on existing data governance frameworks, the MAST Methodology provides practitioners with 4 major principles - Metadata, Analysis, Support &amp; Teamwork - to build skills and organisational support for data management. This is extended by examining how change management for data can deliver IDEAL metadata through the steps of Inventory, Documentation, Endorsement, Auditing and Leadership to develop a pragmatic approach to build a sustainable data culture.<br>
<br>
In this poster, we will cover:<br>
<br>
* Existing challenges in change management and education in data governance * The four principles of the MAST Methodology and how they improve data governance capability especially among novice practitioners and underrepresented fields * The role of specialist teams in developing a culture of peer review to support knowledge development and retention for operationalised data governance * A breakdown of how the IDEAL metadata framework rapidly improves data quality, along with low- or no-cost practical steps to support under-resourced communities Lastly, we discuss how the Aristotle Metadata Registry implements the MAST Methodology with examples demonstrating how these tools improve data quality and increase engagement with metadata.</p>"
X,Introducing RDM Best Practices into Advanced Research Computing Workflows,Jeff Moon,,,,,,,"<p>Increasingly, academics are turning to high performance computing (HPC) to achieve their research goals. What is less clear is how, or even if, these researchers incorporate research data management (RDM) best practices into their advanced research computing (ARC) workflows. This presentation draws from a variety of RDM and HPC/ARC sources to (i) contextualize this problem, (ii) spark discussion of HPC/ARC-aligned RDM best practices, and (iii) identify gaps in need of addressing. The overarching goal is to seed the development of practical training materials that can be tailored to help researchers, HPC/ARC support professionals, and Data Librarians/Specialists make data emerging from HPC/ARC research FAIR.</p>"
X,Support for economic surveys,Amber Sherman,Stephanie Tulley,,,,,,"<p>In this presentation, we will share our experiences and some lessons learned from supporting economists with various aspects of their survey-related research. As original data collection needs have grown in our organization, we contract services for survey platforms, recruiting participants, using vendor panels, pre-testing questionnaires with focus groups, 3rd party IRBs, questionnaire development, statistical disclosure review and documentation for releasing public use files. Many of the survey projects involve researchers from multiple institutions, adding a layer of complexity. We hope to present useful advice for others to consider as they are contracting with a vendor for survey support.</p>"
X,Powerful DDI-CDI Metadata – the How and the Why?,Thomas Gilders,Deirdre Lungley,,,,,,"<p>Here at the UK Data Archive we have a vision of using DDI-CDI &ndash; DDI metadata for Cross-Domain Interoperability &ndash; to power our future data dissemination tools. However, populating these rich metadata structures at scale is not a trivial task and therefore we are exploring the use of current state-of-the-art machine learning models. With the resulting tools we aim to improve access to our data while protecting people&rsquo;s privacy. We aim to break open the current binary utility/risk trade-off of Secure Access or Open Access when it comes to sensitive/disclosive datasets, particularly in Social Science and reduce the time delay in giving researchers access to data. Detailed metadata will not only allow researchers to select, filter and link data but will also provide us with the input necessary to drive SDCMicro functions (well-used command-line tools we have rewritten as web services) which drive machine-assisted disclosure assessment, which in turn feeds a decision tree of real-time access outcomes, providing researchers with richer and more flexible choices based on real-time mitigations of key variable sensitivity (e.g. global recoding, top/bottom recoding, etc.) As well as a live demo of the tool, we outline our methodology for building and improving machine learning models capable of enabling the scaling of rich metadata creation. We are all aware of the potential of machine learning to reduce our manual workload but what are the practical considerations for applying these tools to create Social Science metadata, how successful have we been and what more can we do to improve the resulting accuracy?</p>"
X,Research on Korea Social Science Data Archive's Long-Term Development Plan,Jungwon Yang,,,,,,,"<p>Since the 1980s, The Korean Social Science Data Archive (KOSSDA) has been the leading research data management organization for Korea&rsquo;s social science data collection. In 2015, the KOSSDA became a part of the Seoul National University (SNU) research community and found a home within the Asia Center. In 2022 SNU decided to make KOSSDA an independent research organization of the College of Social Science.<br>
<br>
KOSSDA decided to analyze and evaluate the current KOSSDA service models to prepare for newly expanded research and service opportunities. A small group of researchers conducted usability analyses on KOSSDA data collection, the KOSSDA data education program, the KOSSDA website, and data donors. In this presentation, presenters will share the findings of these usability analyses and discuss the distinctiveness of Korea&rsquo;s research data management services and data sharing patterns.</p>"
X,Implementing Data Services for Indigenous Scholarship and Sovereignty,Miranda Belarde-Lewis,Sebastian Karcher,Sandy Littletree,Carole Palmer,Nic Weber,,,"<p>In response to the imperative for Indigenous data governance and sovereignty, a groundswell of activity has emerged on the ethical care and stewardship of digital Indigenous data. To date, however, there is little guidance for libraries and repositories on how to implement Indigenous data principles (such as the CARE principles or &lsquo;data sovereignty&rsquo;) within their existing research data services (RDS). Based on case studies of Indigenous scholarship by Indigenous researchers, and a strategic collaboration among a data repository, library professionals, and information researchers this paper will present initial results from a project seeking to establish guidelines for RDS with a focus on Indigenous data from the humanities and qualitative social sciences. The collaborative approach integrates data curation and infrastructure expertise from the Qualitative Data Repository (QDR) and the Information School at the University of Washington with librarianship expertise from the X̱wi7x̱wa Library at the University of British Columbia and Data Services at UW Libraries.<br>
<br>
We focus on three key areas: 1) Collection development: how should repositories decide on whether to accept deposits of Indigenous data? Repositories must ensure that data were collected ethically and that depositors have the authority to make them available to others. 2) Metadata: what are some key considerations for ensuring that appropriate context and representation of relational accountability are included with Indigenous data? Against the backdrop of a history of racist and colonialist description of Indigenous culture in libraries and archives, it is particularly important that metadata accurately reflects Indigenous perspectives of data. 3) Governance and access: how can appropriate access to, and control of, data be managed? While many Indigenous people and scholars want to see data preserved and made available, it is important to ensure that governance mechanisms respect Indigenous sovereignty as well as contain access controls that meet the needs of Indigenous communities.</p>"
X,People of IASSIST: who are pushed out and who are or pulled in?,Flavio Bonifacio,,,,,,,"<p>In VAC of IASSIST Sweden 2022 the following questions have been posed:&nbsp;</p>

<ul>
	<li>We need to know more about what members want. How to meet their needs better beyond a conference? Do we want to be more global?</li>
	<li>Why do people not stay? Understand why people stay and why do people come to one conference and not return.</li>
	<li>How get people to be long term people? What do people want from the conference? </li>
</ul>

<p>In this presentation I will try to answer those questions. I will do that by using two tools:&nbsp;The analysis of IASSIST members in last ten year, building a stop and go model of their behaviours: which stay, which one went away, which one think to go away (in terms of structural variables) and the analysis of a questionnaire related to what they think about the usefulness of IASSIST conferences and other related topics</p>"
x,Uncovering Historical British Survey Data Through File Format Migration,Kelsie Norek,,,,,,,"<p>The Social and Political Change in Britain (1945-1991) project is an ESRC (Economic and Social Research Council) funded collaboration between the University of Southampton and the Roper Center for Public Opinion Research. As a result of this collaboration, over 700 British public opinion polls from 1945 to 1991 have been converted from column binary to modern data formats and made available through the Roper Center archive. Additionally, questions from these converted datasets were used to generate over 40 trends covering topics such as the economy, attitudes regarding social issues, elections and approvals, and party perceptions (https://ropercenter.cornell.edu/esrc-project). This presentation will provide an overview of the project and details on its components, including digitization of paper documentation, selection of surveys for conversion, column binary conversion training, file creation and transfer, quality assurance, and data visualization.</p>"
x,Using DDI-Lifecycle to Document Variable Comparability in Longitudinal Data,Sanda Ionescu,,,,,,,<p>This presentation describes several projects conducted at NACDA-ICPSR to document variable comparability across waves in longitudinal studies and across two or more longitudinal series. Project-specific workflows and use of DDI-Lifecycle structures are presented.</p>
x,Bottom up needs versus central policy in the institutional repository of the Czech Academy of Sciences ASEP,Rudolf Sýkora,Jindřich Fejfar,,,,,,"<p>Since 1993, the ASEP database has been in operation in the Czech Academy of Sciences (CAS), where CAS institutes store records of their publication activities. (From ASEP, records are sent to the national CRIS system), ASEP allows linking publication outputs with the data on which they were based and the projects from which they were funded. The database is operated (developement and administration) by the Library of Czech Academy of Sciences, who also provide training and workshops for researchers.<br>
<br>
In 2012, the Repository of Full Texts was created within this database - a sharp increase in usage since 2014 - as the evaluation of science within the CAS began to require full texts. The data repository was established in 2018. Due to new grant conditions and following the implementation of the EU Directive on open data and the re-use of public sector information, we expect an early increase in the number of datasets stored from 2023.<br>
<br>
Publication and datasets by authors from the Czech Academy of Sciences can be added to database. Authorised persons at institutes of the CAS (ASEP administrators) are responsible for adding records to ASEP.<br>
<br>
The bottom-up process is slow and concerns mainly certain scientific fields, which implement it often through disciplinary data repositories, but it is often more the activity of few &quot;progressive&quot; institutions or even individual scientists. Only changes in requirements at a systemic level leads to a comprehensive transformation of the scientific environment. A timely response to the needs defined by the bottom-up allows subsequent readiness for the changes in the &quot;external&quot; environment. ASEP is therefore ready for the mandatory practices of open science, defined by new policy, by responding to earlier, relatively sporadic, requirements of researchers.</p>"
x,Indigenous data manipulation,Noé Nessel,,,,,,,"<p>Gradually the States of the Southern Cone seek to generate social justice, for indigenous peoples, based on data. A paradigmatic case occurs between the border between Chile and Argentina. By having fewer zonal documentary records, it is more complex to be able to determine for sure which ancestral territories correspond to them. Political interests, armed groups and pseudo-mapuches cause politicization and hinder the investigation through the exchange of information. Although both countries use the same language, the party differences make it difficult for the correct and professional exchange of data to reach a forceful solution avoiding the series of property fires, usurpations and deaths. In this militarized region, fast and accurate access to information by the Data and Archives Commission of the Federal Intelligence Agency will save dozens of lives.</p>"
x,Shifting pathways: managing the risks of the different access routes for sensitive data,Deborah Wiltshire,,,,,,,"<p>Not all microdata can be anonymised without losing too much detail. For some data, once sufficient detail is removed to make it anonymous, much of its utility is lost. Therefore, pseudonymized data, data that is not fully anonymised, is increasingly made available. Under data protection legislation (GDPR), these data are considered &lsquo;personal data&rsquo; and require appropriate safeguards.</p>

<p>There are many positive arguments for making pseudonymized data available&ndash; they expand the scope of the research possible, contributing to vital policy-related research and allowing data to be linked together. In the post-pandemic era, their role has been even more important.</p>

<p>Trusted Research Environments (TREs) play an integral role in enabling safe access to sensitive data. In the earlier years of secure access, Safe Rooms &ndash; secured, physical locations where researchers could access and analysis these data - were the predominant access route.</p>

<p>The move towards easier, more flexible remote access options is a popular one with researchers but it comes with a dilemma for secure data access facilities &ndash; how to manage the differential risks of the different access routes. The 5 Safes Framework has been widely used to structure the decision-making processes in TREs.</p>

<p>This presentation explores how it can be utilized in managing the move to new access routes, using the example of the Secure Data Center at GESIS, Germany.&nbsp;</p>"
x,FAIR to care? Repository landscaping and support for FAIR in Europe,Tuomas J. Alaterä,,,,,,,"<p>Recently, two large EU research infrastructure projects supported data repositories in their efforts to apply for CoreTrustSeal certification and implement FAIR principles in their operations. The projects differed from each other in scope, disciplines and region covered. The SSHOC project looked at European repositories in SSH fields but did not focus on FAIR. The EOSC-Nordic project targeted repositories in the Nordic countries and the Baltics, regardless of discipline, and took into account the uptake of FAIR and the measurement of FAIR maturity.<br>
<br>
This presentation summarises some specific results from both projects and from two perspectives. First, what vital information do the repositories convey to their customers about their services, their mission, and the quality and trustworthiness of their services. Is the information provided generally sufficient for a trusted digital repository or is something missing? Second, how the automated measurement of current FAIR maturity and efforts to improve it took place in practice, and whether conclusions can be drawn from the results that would accurately demonstrate that FAIR has been successfully implemented in the repository. Do the maturity evaluation results support the findings from the desk study and do the evaluation results correspond to differences and groupings observed in the study?<br>
<br>
Regarding FAIR, the results of the project studies have been supplemented with a few additional reviews for this presentation. In addition, information whether data on minorities was provided by the repository has been included. Finally, the recommendations provided by the EOSC-Nordic task team on FAIRification for the implementation of the FAIR principles have been used as an explanatory factor for success in the evaluation.</p>"
x,"Indigenous Data Matters: Finding Data for First Nations, Inuk and Metis Peoples in Canada",Alexandra Cooper,Kevin Manuel,,,,,,"<p>Based on the work by three academic data professionals who created the Data on Racialized Populations in Canada guide, the presenters will go into more detail about finding data for First Nations, Inuk and Metis Peoples in Canada. The presentation will explore the historical nature of some Indigenous data sources with examples that will be provided of how the federal government of Canada has collected data on Indigenous peoples, often through a colonial lens. There will be a focus on how terminology necessary for searching may include language that can be problematic and/or offensive to contemporary users. Accordingly, the content will illustrate how the vocabulary used to refer to racial, ethnic, religious and cultural groups is specific to the time period when the data was collected and does not reflect the attitudes and viewpoints of contemporary society. More recent trends of inclusive terminology will also be explored and how this reaffirms Indigenous identity in the data. Finally, an overview of data sovereignty will end the presentation to allow insight into how data is collected, gives ownership and is used by Indigenous communities through relevant resources.</p>"
x,What do future data services look like?,Emma Gordon,Richard Welpton,Felix Ritchie,Elizabeth Green,Steven McEachern,Maggie Levenstein,,"<p>The UK data services landscape has evolved substantially over the past decade. New legal frameworks for accessing data have been implemented; new methods for accessing and combining data have emerged and advances in technology, tools and methods have continued to grow. The landscape has become more complex, with a growing number of infrastructures providing services to data owners and data users serving a variety of needs.</p>

<p>Many of these changes have occurred in the years since the Economic and Social Research Council (ESRC) established the UK Data Service and other data service investments. The main questions that our data services face are: how can current infrastructures connect more closely to deliver unified services for researchers?; what is the foundation needed to support researchers in an ever changing legal/technology/policy landscape?; how can data services work to support societal changes, e.g. addressing inequality in data, working in an environmentally sustainable way?</p>

<p>To respond to the increasing demands on social science data, ESRC has embarked on a strategic review called Future Data Services (FDS), to scope out how data services can deliver services to a broader, more diverse audience with an increasing need for interdisciplinarity. The rest of the world is also experiencing similar challenges; therefore this session should be of interest to a broad international audience.</p>

<p>This panel will bring together experts for a discussion on the future of data services. ESRC will present its recommendations that have been developed through its work on FDS. We will invite the panelists and the audience to challenge us on what is required to respond to community needs in an ever-changing landscape. The panel will discuss the components that make up a &lsquo;good&rsquo; data service and how data services could be utilised to deliver even greater public good.</p>"
x,Development of the Self-Archiving System in the Social Science Japan Data Archive,Megumi Ikeda,Nobutada Yokouchi,Satoshi Miwa,,,,,"<p>Since its launch in 1996, the Social Science Japan Data Archive (SSJDA) has been collecting and storing raw data provided by depositors that are obtained mainly from social surveys. These data are then widely shared for academic purposes, or secondary analysis in particular. Although SSJDA has long been responsible for creating the metadata, a new self-archiving system was developed recently that allows the depositors to register their raw data and create the metadata by themselves. This self-archiving system is expected to improve the efficiency of data archiving and sharing in the long run; however, there are also several challenges to overcome. For example, many depositors, including academic researchers, are unexperienced in creating the metadata in a FAIR manner. Therefore, SSJDA is also planning to provide training programs, such as self-learning materials to the depositors.</p>"
