Column,First Author,Second Author,Third Author,Fourth Author,Fifth Author,Sixth Author,Title,Abstract
x,Briana Wham,Sheridan Shannon,,,,,A panorama of self-deposit practices in European and North American archives,"<p>This paper analyses self-deposit operations in European and North American archives. By examining the obstacles to the introduction of self-deposit services stricto sensu (with minimum involvement of the data stewards), which are still rare, this research looks closely at how data stewards support the curation and documentation effort that must be handled, at least partially, by the depositors themselves. Our analysis shows that self-deposit practices are a trend that is particularly marked in emerging archives.</p>
<p>Very few studies tackled this subject head-on: how are curation practices actually carried out? What are the various costs involved? What types of guidelines are provided to depositors? How are the archive's recommendations and instructions accepted and followed by depositors? To what extent is the data re-use potential taken into account when it comes to self-deposit?&nbsp; While some of these questions have been addressed in the literature, albeit in very general terms, there is very little concrete feedback out there. This is the subject our paper tackles.</p>
<p>Empirically, our research is based on 20&nbsp; interviews (an in-depth questionnaire and/or guided interviews conducted remotely) conducted, between 2021 and 2022, with CESSDA archives or repositories referenced by the Dataverse network.</p>
<p>In this paper, we will analyse several pitfalls in the implementation of open science policies: the difficulties in finding the right balance between the archive's workflows and the flexibility granted to depositors; the gap between the limited resources that data curation teams have and the extent of the tasks that ultimately fall on them to make data FAIR; the uncertainties over the modes of reasoned division of labour that can be put in place between depositors, data stewards and other data professionals, to optimise the self deposit workflow and the articulation deficit between self-deposit practices and the data re-use potential.</p>"
x,Bronwen Glover,Saman Goudarzi,,,,,Data Collection Development: Practices and Perspectives,"<p>Researchers are demanding access to increasingly complex data. Acquiring these data for library collections present unique challenges that tax the current workflows, staff, resources and expertise in place for the acquisition of traditional library materials.</p>
<p>Members of the Data Collection Development Interest Group will share their efforts to implement and enhance the existing acquisitions infrastructure at their institutions, and will share their thoughts on the challenges they have confronted in their quest to add research data to their libraries&rsquo; collections. The panelists will cover licensing &amp; curation, data storage &amp; access, identifying vendors &amp; key players within their institution and evaluating data quality.</p>"
x,Caden Picard,jay winkler,,,,,Charting a course towards coordinated research data services,"<p>Due to the growth of funder and journal policies, researchers across all disciplines are increasingly required to manage data in accordance with requirements related to data management planning and data deposit. Canadian academic institutions that are eligible to administer federal research funding were also required to create an institutional research data management strategy this past year (as described in the Tri-Agency RDM policy). As a result, academic institutions need to develop strategic, coordinated approaches to providing research data services, in order to avoid siloed and inefficient duplication of services across campus and potential gaps in programming and support. This presentation will compare and contrast the efforts of two Canadian university libraries who are participating in the Ithaka S+R initiative &ldquo;Building Campus Strategies for Coordinated Data Support,&rdquo; a cohort-based project with 29 universities across Canada and the US. Based on analyses of research data services currently offered and the experiences of researchers in navigating and accessing existing services, the presenters will explore various topics, including the types of services currently offered at these two institutions, the roles various service providers play (e.g., library, research office, IT), and the areas identified as opportunities for future investment. Other topics will include potential mechanisms of coordinating and collaborating to develop and offer effective research data services and the various opportunities for leveraging regional or national services and infrastructure. Given the relevance of research data services and research data management for institutions broadly, the questions and issues discussed will be of interest to IASSIST attendees regardless of geographic location.</p>"
x,Carissa Phillips,,,,,,Participatory Mapping and Historical Memory: Reconstructing Destroyed Villages of the Salvadoran Civil War,"<p>This presentation examines the use of participatory mapping and historical GIS to reconstruct communities destroyed during the Salvadoran Civil War. These reconstructions serve as both a repository of living memory and an access point to a growing body of archival evidence and testimonials collected by the surviving memory team. This work incorporates precision GPS equipment, and Survey 123 to record data from survivor testimonials and physical evidence, alongside historical maps, and archival imagery. It briefly discusses the data collection workflows and tools and introduces a trauma-informed approach to participatory mapping in an historical memory context and how these approaches can be applied across multiple projects in different contexts. Finally, it shows how the resulting interactive maps become powerful tools for knowledge mobilization and to support more in-depth reconstructions of communities lost to scorched-earth tactics.</p>
<div>
<p><strong>Zack MacDonald</strong></p>
</div>"
x,Christine Nieman Hislop,,,,,,Scrapping the decennial census of England & Wales:  The end of the road for tracking commuters?,"<p>Abstract: Censuses of the general population of England and Wales (E&amp;W) started in 1801 and have taken place almost every 10 years since. A primary purpose of these decennial censuses &ndash; to serve as a basis for calculation of resource allocation across areas &ndash; has remained, but the data collected has grown in detail complexity, giving a richer population profile snapshot. The most recent E&amp;W census, in 2021, may be the last if the government deems alternative, more cost-effective and/or accurate methods of data collection are available.See https://consultations.ons.gov.uk/ons/futureofpopulationandmigrationstatistics/</p>
<p>Ending census data collection would affect the future of E&amp;W&rsquo;s largest longitudinal nationally representative data resource, the Office for National Statistics Longitudinal Study (LS). The LS comprises linked census and life events data for a 1% sample of the population of E&amp;W from 1971 onwards, with individuals of all ages becoming members if they have one of four undisclosed birthdays. It enables researchers to track members over the life course, discovering the impacts of an individual&rsquo;s personal, social and environmental circumstances on their outcomes, including changes in their travel to work.</p>
<p>How we travel is inextricably linked to human and wider planetary health. Understanding what steers individuals&rsquo; travel behaviours in future is central to informing transport policy that will protect human health through, for example, climate change adaptation and pandemic preparedness.</p>
<p>In our dual roles as members of the Centre for Longitudinal Study Information and User Support (CeLSIUS) team, and as researchers, we demonstrate the power of the LS, presenting our ongoing investigation of commuting behaviour and associated factors &ndash; such as self-rated health, socioeconomic status, length of commute, residential and workplace stability, and neighbourhood walkability &ndash; among LS members. We highlight the implications of the proposed cessation of the census and discuss data sources needed to interpret future commuting habits.</p>"
x,Christine Nieman Hislop,Katie Pierce Farrier,,,,,If the map cart won't come to the library: Building a bespoke map cart for the Lloyd Reeds Map Collection,"<p>Moving large format items always poses a challenge in collections. At McMaster University, the rare maps collection is held on a different level to the Map Library, which makes moving maps for teaching, reference, and assessment even more challenging. Although the utilization of a map cart would be the apparent solution, such a tool is not readily accessible for procurement from library/archival supplies vendors. This is the predicament that confronted McMaster&rsquo;s Map Library when looking to undertake a series of collection management projects. In this presentation, we detail the steps taken and lessons learned in creating a bespoke map cart.</p>"
x,Claudia Engel,,,,,,Adventures in data literacy: When the gap you were trying to identify turns out to be a chasm,"<p>In an era where post-secondary students are seen as digital natives and data storytelling is becoming an expected part of scholarly discourse, this paper synthesizes insights from multiple surveys. This research was conducted in 2020 and 2022 with participants from programs across the University of Manitoba (UM) to illuminate the landscape of data literacy. This paper will not only delineate the current landscape of data literacy at UM (a Canadian public research university of around 30,000 students) but also explore challenges and potential pathways for improvement. The authors hope this paper can serve as a foundational resource guiding those who work in data services towards a data-literate future.</p>"
x,Cody Hennesy,Tim Dennis,Zhiyuan Yao,,,,Physical Linkage vs. Linkage Ready Data Sources,"<p>This talk will discuss approaches for linking different data sets with the goal of offering richer data sources for research. Approach one will make research easier by hosting all datasets in one place and creating one big data source. While this approach benefits from easy handling of data in one place, it also comes with issues like data ownership, data protection, and data documentation/services. Approach two is not demanding one single storage location. Data sets may be stored in different places, but they need to be structured to be &ldquo;Linkage-Ready&rdquo;. Being linkage-ready, or interoperable, demands, beside a useful identifier to link cases, a coordination of research domains, instruments, and universes. The talk will discuss the pros and cons of both approaches based on the current situation regarding the availability of data for research on education and learning in Switzerland.</p>"
x,Dan Gillman,,,,,,Furthering an open science culture at the Swedish University of Agricultural sciences,"<p>Open access to curated research data contributes to spreading of knowledge and to an increased ability for public and private players, as well as private individuals, to contribute to a more sustainable, democratic society and more efficient information exchange.</p>
<p>The routines necessary for open access to research data will not only further &ldquo;good data hygiene&rdquo; among the research community, but also clarify in which situations data is in need of special protection. To achieve this degree of data management, certain levels of routines, standardization and infrastructure are required. In addition to this, a supporting culture and acceptance of the concept is required from researchers.&nbsp;</p>
<p>We aim to create the physical, organizational and cultural conditions necessary to make more research data from SLU available according to the FAIR principles. A well-functioning process; from project planning, data acquisition, analysis and storage through to archiving and publication of research results, requires an equally well-functioning collaboration between the functions involved in data management support. It also requires clear routines as well as hard- and software that can connect the different parts of the process. In addition to all this, it depends on researchers and managers gaining an understanding of the value it may generate and a willingness to adapt routines to this.</p>"
x,Danica Evering,Subhanya Sivajothy,,,,,"Text Analysis, Data Requests, and the Academic Library","<p>The ability to comprehend and communicate with text-based data is essential to future success in academics and employment, as evidenced in a recent survey from Bloomberg Research Services which shows that nearly 97% of survey respondents now use data analytics in their companies and 58% consider data and text mining a business analytics tool (https://www.sas.com/content/dam/SAS/bp_de/doc/studie/ba-st-the-current-state-of-business-analytics-2317022.pdf). This has fueled a substantial growth in the field of text analysis, involving the use of technology to analyze un- and semi-structured text data for valuable insights, trends, and patterns.<br><br>Text analysis plays a pivotal role in various aspects of daily life, from the auto-suggest feature on your phone to the spam filter in your email and suggestions on streaming services. Recently, there has been significant buzz around text analysis and generative artificial intelligence, emphasizing their potential impact on human society.<br><br>In our panel session, we will introduce the concept of text analysis and its importance. Librarians from four diverse higher education institutions, ranging from a large STEM focussed institution to a small liberal arts university, will discuss meeting the many text analysis needs arising on their campuses: integrating text analysis pedagogy across campus, running workshops out of the library, working with faculty to integrate it into class materials, and supporting research on campus. The panelists will also speak to some of the challenges inherent in supporting this work, ranging from budgetary concerns to issues of data management, access, and reproducibility.<br><br>With students and faculty from all disciplines adopting text analysis, academic libraries have the opportunity to become primary supporters of this approach.</p>
<div></div>"
x,David Schiller,,,,,,Developing a Library Archive for Secure Data Storage,"<p>In 2019, Western Libraries was asked about potential storage options for data from a major multinational study that had been stagnating on a departmental server for a number of years. The idea of a secure library data archive was floated but despite support from Library Administration and the provision of storage space, we became mired down in endless conversations about procedure, ethics and data ownership. In 2022 an additional data crisis arose: our Research Ethics Board&rsquo;s former recommended option for sharing sensitive data was being decommissioned and an unknown number of potentially restricted datasets were about to become homeless. That was the push needed and in 2023 the Library Secure Data Archive was launched. Come hear a story of data neglect, peculiar storage recommendations and The Form That Took Forever!</p>"
x,Deborah Wiltshire,,,,,,Refactoring data delivery: The case study of the new tools for census flow data at UKDS,"<p>This paper presents the API and user interface for disseminating census flow data developed as part of the UK Data Service (UKDS) strategy to modernise its supported software. It explores the development challenges and the diverse technologies employed, contextualised within the broader scope of data services. The new tools were in the final stages of development at the time of writing.</p>
<p>We opted to construct these tools from the ground up, a decision influenced by the complex nature of the underlying data, which necessitated high levels of flexibility and adaptability. This paper will critically evaluate the decision-making process, weighing the advantages and disadvantages of developing in-house solutions versus the trend of relying on external, often commercial, platforms. Third-party solutions frequently compromise functionality and the ability to tailor to specific requirements, especially when dealing with highly complex data. The presentation will showcase some functionalities of these new tools, highlighting ongoing enhancements, including integrating AI and machine-learning technologies. We will also discuss the advantages of the design principle to separate the user interface from the backend API. This approach improves user experience and promotes better interoperability.</p>
<p>While acknowledging that budget and overall resource constraints are a common hurdle in such initiatives, this case study provides insights into the feasible options available to data services striving to deliver robust and comprehensive data to their users. The insights and experience shared are intended to contribute to the dynamic relationship between data services and information science, especially when dealing with data related to the social sciences. By offering practical examples and lessons learned, we aim to inform those enhancing data accessibility, utility, and distribution in a rapidly evolving digital environment, where data services often face challenges in keeping pace with technological advances.</p>"
x,Dylanne Dearborn,Jasmine Lefresne,Lok Hei Lui,,,,International collaboration as a common approach to improve the FAIRness of non-numeric/ qualitative research data,"<p>The future of sharing and reusing qualitative research materials will be shaped by technological innovations, ethical considerations, privacy and data security issues, collaborative efforts, and an increased focus on improving the <a>rigor</a> and <a>applicability</a>&nbsp; of findings derived from existing non-numeric/qualitative datasets.</p>
<p>Due to the sensitivity and comprehensiveness of the data, the integration of (AI-based) technology in data curation, data sharing and data analysis workflows needs to be carefully addressed, as well as issues of interdisciplinary approaches. Furthermore, researchers from different disciplines will be interested in using qualitative data, and vice versa, qualitative researchers will be interested in using data from other methodological backgrounds that lend themselves to the application of qualitative analysis.</p>
<p>In the face of these developments and challenges, collaboration between data infrastructures with expertise in the curation and provision of qualitative data is key. Networks such as QualidataNet, a community-centered federated network of RDCs, seek to share and discuss common solutions for harmonization and standardization where possible. Its focus is to provide a single point of access to qualitative datasets from different data providers and to promote the sharing and reuse of qualitative data in line with the FAIR Data Principles.</p>
<p>QualidataNet is part of the Consortium for Social, Behavioral, Educational and Economic Sciences (KonsortSWD) at the National Research Data Infrastructure (NFDI) in Germany. It coordinates the international cooperation within the DDI via the DDI-CDI Subgroup ""Non-Numeric, Non-Code Datums"", which aims at a standardized and comprehensive metadata description of data objects to enable cross domain integration.</p>
<p>We will present the current work, future steps and plans of this international effort: In addition, we would like to continue exploring opportunities for international collaboration and exchange, and invite for participation with the goal of shaping FAIR's ways of processing, archiving, and reusing qualitative data objects.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>"
x,Elizabeth Hill,Kristi Thompson,,,,,Queering the Numbers: The IASSIST LGBTQ+ Data Guide,"<p>As a subgroup of the IASSIST Diversity, Equity, and Inclusion Data Resources Interest Group, the IASSIST LGBTQ+ Data Guide team was formed in September of 2023. Chaired by Kevin Manuel, Data Librarian from Toronto Metropolitan University, it has members from around the world that are contributing their knowledge and expertise with LGBTQ+ data resources. The subgroup was formed as there were discussions that came out of the development of the IASSIST Anti-Racism Resources Guide which recognized that there were other populations that were underrepresented, and that include LGBTQ+ people. Due to a history and even current context of oppression and exclusion LGBTQ+ people, data on these communities are often non-existent, small samples, or only recently collected. Please join Kevin, Michele and Van to learn more about the efforts of the IASSIST Diversity, Equity, and Inclusion Data Resources Interest Group to produce data guides that can help researchers find the often hard to find statistics they are looking for.</p>
<div>
<p><strong>Kevin Manuel</strong><br>Toronto Metropolitan University<br>Canada</p>
<p><strong>Michele Hayslett</strong><br>University of North Carolina at Chapel Hill<br>United States</p>
<p><strong>Van Bich Tran</strong><br>Temple University<br>United States</p>
</div>"
x,Erin Clary,Beth Knazook,Mikala Narlock,,,,How are we FAIR-ing? Creating a FAIR Self-Assessment Checklist for Data Repositories,"<p>In 2022, a team from a local grant-funded medical data repository team contacted the University of Pennsylvania Libraries&rsquo; Research Data &amp; Digital Scholarship unit asking for guidance on evaluating the extent that their repository was FAIR enabling. After a consultation with the repository team, our research data experts discovered that many of the current self-assessments of the FAIR guidelines were for data creators rather than data repository managers. In addition, we wanted a self-assessment tool similar to the process and guidance created by CoreTrustSeal but with a focus explicitly on FAIR principles. In answer to their request, the Penn Libraries&rsquo; Research Data Engineer conducted a literature review and coalesced current guidance and assessment tools on the principles. After this review of the existing documentation, a small team consisting of the Research Data Engineer, the Head of Research Data Services, the Director of Data and Innovation Services, and the Bioinformatics Librarian developed through an iterative process a self-assessment tool for repository managers regarding FAIR principles. In addition to several iterations of the tool, we also met with the repository managers for feedback on ways to make the tool more understandable. Our discussions provided insights into the challenges of explaining the FAIR principles to those without information science backgrounds. The discussions we had and the development of this self-assessment tool helped to develop a more transparent and trustworthy repository.<br><br>This presentation will discuss the development of the assessment, the goals for utilizing the tool, and lessons learned. Reporting our findings as they currently stand will prompt the research data management field to ruminate on FAIR principle adoption for data repositories. We also intend for this paper to encourage more conversation on the usability of the FAIR principles for professionals without an information science background.</p>"
x,Flavio Bonifacio,,,,,,Navigating Waves: Using DDI and Colectica to Enhance Interoperability within and among Longitudinal Series,"<p>In this presentation, I plan to describe NACDA&rsquo;s efforts to create information-rich metadata that documents the comparability of variables in longitudinal series on aging, as well as how this metadata is made available to the public.</p>
<p>The National Archive of Computerized Data on Aging (NACDA) began working with DDI-Lifecycle (DDI-L) in 2018. Since then, NACDA has documented some of its most established and frequently-used longitudinal data collections to DDI-L and displayed them in a Colectica Portal. In this presentation, I will discuss how this portal functions, how our use of the portal has evolved, and our plans for the future. In particular, I will highlight the creation and presentation of single-series cross-wave concordance documentation, concordance documentation for two separate series, and concordance documentation for three or more series.</p>
<p>NACDA is part of the Inter-university Consortium for Political and Social Research (ICPSR) and based at the Institute for Social Research (ISR) at the University of Michigan.</p>"
x,Fox Mark,Bart Gajderowicz,Lyu Dishu,,,,Data Management Plus: Organizing Data and Program Files for a University-Community Partnership,"<p><span>This poster describes ongoing efforts to organize data and non-data program files for a university-community partnership - the University of Rhode Island Engaging Generations Cyber-Seniors Program. We explain how we are moving from </span><span>ad-hoc file organization to a more streamlined, thoughtful system, utilizing ideas from research data management and personal knowledge management. </span></p>"
x,Gail Steinhart,Eric Schares,Katherine Skinner,,,,Exploring the Frontier: Generative AI in Qualitative Data Analysis,"<p>Exploring the intersection of qualitative data analysis and generative artificial intelligence (AI), this presentation considers the current evolving landscape in qualitative software. Tracing the historical evolution of autocoding features in tools like NVivo and ATLAS.ti, the discussion expands to the these tools&rsquo; integration of OpenAI's GPT models. It considers novel applications beyond traditional sentiment and 'topic' identification for faster, hopefully robust, insights into qualitative data. Going beyond technical aspects, the session also addresses critical methodological considerations, examining the epistemological and theoretical challenges qualitative scholars face when considering removing the &ldquo;close&rdquo; from close reading in qualitative inference.</p>"
